graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
1,6,5,41.30172118972074,254.8210518061171,"{None: 3, 'footway': 2}","[(672540.5518628601, 3547609.953985894), (672555.400455778, 3547571.41372822)]"
2,8,9,11.055901837024068,174.10746305111402,"{'footway': 5, None: 4}","[(674683.5018208801, 3548306.4927679366), (674688.0551262761, 3548316.567507407)]"
3,4,3,35.493348211076686,236.3190064980434,"{None: 1, 'footway': 2}","[(680654.672092909, 3554114.226557753), (680655.3026831181, 3554078.7388116536)]"
4,6,7,38.8706209560679,455.9495193715163,"{'tertiary': 1, None: 2, 'footway': 3, 'secondary': 1}","[(671799.6336923413, 3535896.338713685), (671838.460540891, 3535898.1828951305)]"
5,7,8,4.374561397902415,162.42784838485622,"{'tertiary': 2, 'footway': 6}","[(669315.6469025663, 3551817.1868090397), (669319.4553225763, 3551815.0344325737)]"
6,6,6,22.2189792086235,146.0662816207453,"{'tertiary': 2, 'footway': 3, None: 1}","[(668638.2945658802, 3535069.344688461), (668659.9856991627, 3535074.159018528)]"
7,6,6,37.48474747250798,665.9899305202377,"{None: 5, 'footway': 1}","[(674826.4727673838, 3548247.1221648906), (674789.4629449096, 3548253.070217808)]"
8,4,3,39.21366174487586,123.47194411878965,"{None: 1, 'footway': 2}","[(674222.7353296159, 3547640.967387102), (674261.4417571377, 3547647.2541776937)]"
9,6,6,13.409450654980889,438.7545562698501,"{'footway': 2, None: 4}","[(662750.217854579, 3541984.358606598), (662742.8442800366, 3541973.1584385037)]"
10,7,7,116.61627574731442,852.8499590237599,"{'footway': 1, None: 5, 'tertiary': 1}","[(665186.2658452119, 3537366.8983498844), (665194.7983648868, 3537250.5946445386)]"
